#Table1
plate,mjd,fiberid,z,ratio_oiii_hb,ratio_hb_hg,ratio_oiii_hg,h_beta_eqw,h_beta_flux,e_bv_sfd
1738,53051,419,0.2009477,0.2598948,2.243477,0.5830679,-21.42677,3135.877,0.03650901
432,51884,246,0.1179971,0.8131903,2.092379,1.701502,-24.48447,4723.809,0.04918799
2271,53726,343,0.1591409,1.563517,1.756025,2.745576,-15.53182,1350.098,0.04080644
2294,54524,577,0.1221442,1.026439,2.031629,2.085343,-14.87268,2112.767,0.02039093
1365,53062,378,0.1437301,0.9069203,1.946449,1.765274,-8.205224,2177.18,0.01563415
1831,54557,501,0.2876647,0.255898,2.250914,0.5760044,-23.49095,2066.256,0.0306989
2162,54207,140,0.2161547,0.3611717,2.393383,0.864422,-20.94106,4474.285,0.06868968
270,51909,537,0.1774282,1.070358,1.720245,1.841278,-6.451722,1343.096,0.03172235
2437,53848,438,0.09829526,1.234654,1.97308,2.436072,-17.36672,1836.073,0.03652591
497,51989,466,0.1277341,0.4635237,1.779278,0.8247373,-16.60515,2236.087,0.03951375
2532,54589,599,0.09159148,0.84781,1.75174,1.485142,-8.021374,999.2677,0.05900654
1584,52943,124,0.1244479,0.8165285,1.581678,1.291486,-5.983191,808.6858,0.06539792
511,52636,315,0.210923,0.4147691,2.267872,0.9406432,-15.90424,1450.228,0.04759682
2656,54484,131,0.05026987,0.2666491,2.234088,0.5957174,-28.28315,1813.709,0.02607697
2582,54139,125,0.1331618,1.914447,2.120395,4.059383,-20.45918,4795.136,0.04058812
2882,54498,437,0.2251655,0.3640934,2.067431,0.7527382,-12.56096,1074.858,0.009952372
2883,54525,524,0.09967799,3.567403,1.815665,6.47721,-27.72459,4169.275,0.01186498
1012,52649,74,0.1027759,0.7229698,2.35134,1.699948,-22.34332,3461.101,0.01297909
1951,53389,614,0.07885244,0.6073617,2.461461,1.494997,-20.80499,8040.256,0.01104522
1848,54180,390,0.2308216,0.3264846,1.903719,0.6215349,-7.999559,969.6373,0.04131947
412,52258,129,0.08017637,0.559593,2.010858,1.125262,-12.63087,2925.605,0.06504875
762,52232,498,0.2543997,1.509214,2.17102,3.276532,-15.03455,4576.92,0.028514
1871,53384,178,0.1397043,0.9377232,1.495519,1.402383,-6.179073,553.1812,0.0433805
2356,53786,575,0.210506,0.5594723,1.77708,0.9942271,-14.41513,1899.59,0.01728246
2425,54139,243,0.09495958,0.8091443,1.653342,1.337792,-9.700706,468.8044,0.03617373
1610,53144,249,0.1756542,0.6838572,1.749313,1.19628,-9.266861,1434.56,0.02661542
2972,54586,148,0.08366632,0.6722247,2.606258,1.751991,-28.1305,3610.479,0.03013047
526,52312,537,0.2688896,1.205106,1.957225,2.358663,-9.82467,1217.897,0.02380977
1795,54507,457,0.153836,1.166074,1.827619,2.131139,-13.55527,4630.266,0.03453428
1415,52885,144,0.1534853,2.055553,2.154447,4.428579,-27.59008,5517.438,0.05673105
2770,54510,433,0.1965366,0.2777563,2.453447,0.6814605,-18.49032,4131.215,0.02233633
2033,53476,512,0.2848447,0.3356205,2.088459,0.7009295,-16.67516,3167.782,0.01505516
1943,53386,466,0.1269882,0.798463,1.668067,1.33189,-5.208287,942.4144,0.01675888
1727,53859,568,0.1188412,0.2283979,2.313178,0.528325,-21.31766,5024.298,0.04138075
1744,53055,630,0.2407427,0.7668698,1.191549,0.9137629,-4.530081,1351.735,0.03843554
498,51984,318,0.07506416,1.231626,2.29719,2.829279,-31.01656,3829.025,0.01333245
2364,53737,458,0.08180236,0.1944637,2.303692,0.4479845,-37.89765,2499.298,0.03082279
340,51990,485,0.08373255,0.8488361,1.598201,1.356611,-10.21055,1447.242,0.02868657
1211,52964,96,0.2568103,0.9005882,2.186809,1.969415,-13.35962,2085.891,0.02328699
789,52342,507,0.1347965,0.7759572,1.189505,0.9230051,-4.659881,892.6796,0.01291334
2497,54154,441,0.2716148,0.2583514,1.980667,0.5117081,-15.74488,944.9173,0.01725316
1225,52760,9,0.06871108,2.760107,1.636287,4.516329,-8.725917,1617.351,0.02711669
1058,52520,379,0.204809,0.3135245,2.142452,0.6717112,-16.9973,2409.323,0.02150116
1601,53115,118,0.1337497,0.6198953,2.155445,1.33615,-19.79977,3727.647,0.02868453
2755,54507,376,0.08377949,0.7089028,1.660927,1.177436,-7.840153,767.4379,0.02384765
1625,53140,134,0.08044197,0.230475,2.171605,0.5005008,-25.66527,2319.595,0.02060772
829,52296,275,0.1516362,0.8140226,1.346157,1.095802,-5.502056,503.3342,0.03367133
978,52441,524,0.1103326,0.7790549,2.220839,1.730155,-31.24908,7375.022,0.0337978
990,52465,427,0.08385639,0.3550133,2.289727,0.8128837,-20.36466,2930.013,0.0684317
414,51869,328,0.1846759,0.4732547,2.381596,1.127101,-20.72246,3112.576,0.1184658
1426,52993,551,0.05348795,0.3851112,1.802085,0.694003,-15.99699,2276.364,0.01755651
902,52409,134,0.0563294,1.28257,2.374651,3.045658,-20.472,2322.049,0.0146779
