#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,e_bv_sfd,oiii_5007_flux_err,h_beta_flux_err,h_alpha_flux_err,nii_6584_flux_err,ratio_oiii_hb,ratio_nii_ha
2004,53737,313,48.35786,39.17542,68.34614,78.72341,0.01684758,8.168126,7.367363,9.587364,9.981043,1.234393,1.151834
661,52163,538,633.1899,1147.451,4687.902,3092.075,0.03505527,11.6965,13.16257,31.60018,21.65969,0.5518231,0.6595861
667,52163,561,124.3489,85.57474,255.7248,300.8698,0.02680014,9.68077,8.467617,13.3987,14.03831,1.453103,1.176538
724,52254,508,84.98193,105.3115,648.1239,499.4438,0.03612901,5.567166,4.76691,8.820403,8.0841,0.806958,0.7705992
2583,54095,179,59.3093,41.38522,105.1346,106.9596,0.04142283,6.765017,6.641669,9.412311,8.885776,1.433103,1.017359
2281,53711,119,77.72681,34.5049,90.4764,64.37513,0.02218707,8.394173,6.879855,10.42651,9.991211,2.252631,0.7115129
2173,53874,202,65.45517,42.93926,130.0619,182.8683,0.04053475,6.591963,6.13694,9.104556,9.376645,1.524366,1.40601
564,52224,109,206.9172,126.6537,389.5372,428.9828,0.04616551,7.54699,7.047484,11.74236,11.21498,1.633724,1.101263
565,52225,152,152.3978,89.7747,355.8801,455.8994,0.04965078,13.32883,11.3795,20.30526,21.64821,1.697558,1.281048
2365,53739,349,104.0799,103.2847,205.6774,137.9651,0.02671795,8.421844,8.437593,11.88708,10.7373,1.007699,0.6707839
276,51909,183,70.76586,40.38296,140.0416,155.3085,0.06351815,6.268432,5.109986,8.346046,8.864351,1.752369,1.109017
447,51877,36,176.0314,126.1171,380.8809,307.4327,0.01916289,12.16169,11.12473,18.23789,17.04857,1.395777,0.8071625
468,51912,523,397.0413,53.31718,339.9698,579.7974,0.03781577,9.734199,6.877068,12.17519,12.46778,7.446781,1.705438
473,51929,80,48.20422,42.46762,109.5187,117.0291,0.03764704,4.203691,3.857178,4.742746,4.98629,1.135082,1.068576
2666,54230,14,161.6243,54.38554,260.5184,340.0758,0.01676245,9.753291,8.684743,14.73694,14.16312,2.971826,1.305381
767,52252,72,47.16491,66.66055,301.6982,186.4405,0.0180545,6.526983,5.609068,9.860383,9.843291,0.7075385,0.6179702
786,52319,61,95.30748,61.70026,162.0215,180.162,0.01330898,9.45716,8.139001,12.23262,12.88103,1.544685,1.111964
501,52235,163,201.2907,128.325,632.7863,430.8555,0.02789634,6.807603,5.192445,9.622921,9.043493,1.568601,0.6808864
528,52022,137,797.8801,89.22804,556.9174,1051.947,0.02464219,8.640388,4.921958,8.936457,9.987796,8.942033,1.888874
534,51997,146,88.7822,64.62541,183.0829,135.8652,0.03236801,9.827951,9.50408,13.808,12.203,1.373797,0.7420967
555,52266,338,69.69997,45.12333,111.7822,104.7248,0.02519363,5.269759,5.37572,7.222983,6.239869,1.544655,0.9368646
555,52266,458,151.7438,713.1404,3564.81,1704.94,0.03413111,7.324663,9.089782,24.66689,15.46726,0.2127825,0.4782694
860,52319,158,93.51083,74.23348,148.1751,67.37181,0.05416722,9.730795,8.233102,11.85394,11.57477,1.259685,0.4546769
939,52636,233,158.6263,1240.925,5799.539,2790.235,0.01777614,6.561438,12.83537,40.33777,19.55161,0.127829,0.4811132
1622,53385,556,41.32278,50.71491,317.5425,239.3056,0.01506376,7.946098,6.686872,12.00575,11.9712,0.8148054,0.7536174
2880,54509,313,118.8471,74.31921,187.6475,163.4656,0.02137887,10.59201,8.058222,11.87127,13.34542,1.599144,0.8711314
2170,53875,335,162.2824,73.72364,192.5704,206.2247,0.03826863,13.8099,11.43146,17.45248,18.08258,2.201226,1.070905
2199,53556,122,91.32575,59.40524,181.6204,300.6671,0.04361615,9.3468,8.636283,13.84243,14.71106,1.537335,1.65547
2758,54523,133,126.7982,29.01049,68.31363,90.12407,0.02129668,5.985287,3.939756,5.276338,6.104788,4.370771,1.319269
559,52316,214,690.1848,213.9388,591.527,451.8427,0.01234425,14.18314,15.11454,16.25727,14.3288,3.226086,0.7638581
1936,53330,20,3722.328,2066.184,7557.503,1671.147,0.02737706,32.88968,19.86902,55.66848,14.98096,1.801547,0.2211242
2275,53709,349,1868.851,1289.027,13482.17,1157.015,0.04217369,14.24721,10.29816,588.0063,8.120209,1.449815,0.08581816
2487,53852,62,180.923,97.50036,255.4175,311.3887,0.01910295,12.82001,11.2625,17.52959,17.65981,1.855613,1.219136
1665,52976,395,49.38637,29.8757,113.8996,122.4662,0.1386542,3.910596,3.267136,4.543642,5.00219,1.653061,1.075212
1594,52992,128,736.9949,772.2027,2895.579,792.3568,0.01980987,9.323365,8.495472,21.31021,8.158831,0.954406,0.2736437
2516,54241,117,55.48438,34.55673,88.40635,109.8868,0.04562762,5.734834,4.735008,6.51404,7.269496,1.605603,1.242974
788,52338,633,75.92509,177.4989,801.6859,410.2394,0.01415788,5.101024,5.05334,10.53329,8.294985,0.4277497,0.5117209
1713,53827,288,118.6641,74.73403,144.7721,126.4157,0.02911966,8.945068,8.501215,11.20957,10.51282,1.587819,0.8732048
2613,54481,507,5015.691,1735.3,6185.803,675.3439,0.03140692,33.54153,13.3515,37.29698,6.07131,2.890388,0.1091764
2284,53708,165,462.0355,114.9231,350.5398,386.3233,0.03324066,16.38534,14.64674,18.81114,18.88319,4.020389,1.102081
1625,53140,66,102.5857,108.9401,582.6293,413.7291,0.02127612,9.104051,7.548131,15.27352,15.40859,0.941671,0.7101068
1199,52703,262,307.3954,305.0118,1131.868,631.0926,0.02419567,12.40607,9.834187,18.25988,15.78195,1.007815,0.5575674
2829,54623,312,32.11982,21.6263,64.67981,63.31187,0.07756551,2.535954,2.210872,3.005635,3.057636,1.48522,0.9788507
2172,54230,577,437.4836,736.7997,3255.661,999.2396,0.04765474,6.318165,7.44241,19.65213,7.447646,0.5937618,0.3069237
2754,54240,372,149.2708,832.6299,7764.896,4741.003,0.03839299,5.793809,8.7063,48.01043,26.40671,0.1792763,0.6105688
2758,54523,232,86.02824,40.26621,80.17516,89.62,0.02486859,7.101796,5.161083,6.942142,8.270837,2.136487,1.117803
565,52225,173,214.6794,98.91177,558.6741,788.5266,0.04254989,16.44036,15.97306,32.0165,30.66588,2.170413,1.411425
581,52356,157,66.95015,93.7262,646.7882,361.9231,0.05550915,6.949616,6.014457,11.27373,10.75793,0.7143162,0.5595697
1052,52466,280,201.1432,106.6309,432.9888,737.5605,0.03585566,9.649714,8.183837,13.4877,15.16398,1.88635,1.703417
450,51908,396,34.94878,54.64624,266.0399,163.192,0.01789076,2.881497,2.584572,4.233454,3.846039,0.6395459,0.6134117
1927,53321,489,1555.704,1524.189,5754.761,1616.687,0.04687094,13.21615,12.18746,34.32215,10.55722,1.020676,0.2809303
2636,54082,64,154.6154,30.86487,192.6405,169.184,0.03250073,2.33437,1.682321,2.780797,2.432531,5.009431,0.8782368
1666,52991,81,110.6979,658.7897,2933.444,1293.396,0.1454702,4.200375,6.298617,16.13248,8.086383,0.1680322,0.4409137
1666,52991,549,194.7305,850.7734,4459.566,1679.706,0.1853034,7.799783,9.878998,26.30235,13.81221,0.2288864,0.3766523
1001,52670,567,287.9846,1364.025,7176.116,3233.772,0.02624856,11.15181,16.81256,55.58834,28.55981,0.2111285,0.4506299
409,51871,157,172.1281,557.9153,2275.672,1067.817,0.05194998,10.56723,12.08041,26.39751,18.2248,0.3085201,0.4692313
1807,54175,585,105.9138,58.4962,170.5047,187.1431,0.02742712,7.268563,7.130847,11.15482,10.34359,1.810611,1.097583
1809,53792,333,39.44296,238.4283,1073.726,337.0493,0.03091967,4.469154,5.101587,10.19421,6.702389,0.165429,0.3139062
1813,53903,513,53.54943,169.6114,770.9416,360.8974,0.03161301,5.778034,5.891181,11.18044,9.146593,0.3157183,0.4681255
832,52312,529,186.219,145.7126,571.0969,308.3112,0.01385513,9.581195,8.185835,13.79272,12.03454,1.277988,0.539858
2505,53856,538,110.7594,65.37457,127.4131,120.7691,0.02228787,8.454925,7.358034,10.69259,10.72904,1.694227,0.9478545
2527,54569,568,126.8201,114.5313,550.9326,670.4665,0.05371843,7.616172,6.571188,12.15271,12.9692,1.107296,1.216966
2928,54614,265,18.52558,130.786,500.5771,181.6212,0.02443672,1.419206,1.947511,3.688353,1.898555,0.1416481,0.3628237
760,52264,548,99.20126,369.6912,1376.463,457.9238,0.04778239,5.013627,5.980789,11.73146,6.755981,0.2683355,0.3326814
1444,53054,587,143.7628,1259.272,5752.388,2078.238,0.02307912,10.04009,17.40062,52.84012,23.43837,0.1141635,0.3612826
655,52162,341,3904.738,2039.811,7974.744,1267.244,0.03461459,26.9887,14.67634,50.51664,9.134955,1.914265,0.1589071
2608,54474,171,90.90462,77.39585,216.7457,262.5958,0.02940147,9.573949,8.617682,13.41823,14.58258,1.174541,1.211539
959,52411,513,557.58,72.47333,487.1251,743.6385,0.01504589,16.39448,10.37286,18.84616,20.18256,7.693589,1.526586
2290,53727,513,39.0416,112.2152,413.1414,212.8029,0.03789298,6.265159,6.516237,11.34929,10.33329,0.3479174,0.5150849
1397,53119,35,223.8257,726.2488,3684.814,1663.784,0.01440874,11.32095,12.99231,34.31897,21.72926,0.3081942,0.4515246
2746,54232,84,130.9417,60.57459,174.9685,265.3135,0.02307681,9.821697,7.559832,12.01507,14.26484,2.161661,1.51635
566,52238,433,120.4518,31.88703,119.6294,122.1225,0.04034298,5.836733,4.333169,6.562628,6.653948,3.777454,1.02084
571,52286,265,60.33906,38.31512,132.6429,139.7782,0.04737796,6.261205,5.376219,7.527198,7.804549,1.574811,1.053794
587,52026,425,78.46451,39.84615,108.7614,104.7426,0.03150671,7.502493,6.704602,9.664456,9.234137,1.969187,0.9630498
1052,52466,560,150.7026,207.0633,988.1898,435.4819,0.02886979,7.018599,6.765995,13.08463,9.843412,0.7278093,0.4406865
280,51612,358,577.4553,1254.602,4352.196,2210.942,0.03571575,9.778317,12.96628,30.3789,15.41041,0.4602698,0.508006
287,52023,16,34.37462,30.09818,116.7162,134.4464,0.02037675,5.43385,4.833462,7.21773,7.215703,1.142083,1.151908
450,51908,290,74.01881,421.1026,2087.071,851.6698,0.01746258,2.988065,4.124183,10.89463,5.268866,0.1757738,0.4080694
450,51908,509,52.9028,20.21087,96.73683,81.42072,0.0225247,3.681453,3.20072,4.77291,4.363332,2.617543,0.8416724
465,51910,213,107.8025,645.3887,2591.967,1103.613,0.07480188,5.028214,7.371283,17.61464,9.833292,0.1670349,0.425782
494,51915,81,235.1591,157.5915,342.1269,294.4908,0.0162339,9.522824,9.297646,13.30165,11.95706,1.492207,0.8607648
1678,53433,7,460.6145,1765.048,13217.05,7286.8,0.02411841,11.16153,16.86514,83.03453,43.97903,0.2609643,0.5513182
1588,52965,89,52.93981,36.53101,109.7757,117.3895,0.05285093,5.313114,4.543607,6.370201,6.900848,1.449175,1.069358
2520,54584,550,43.00637,49.00265,268.0405,288.0701,0.0425991,2.930435,2.728436,4.32071,4.455398,0.8776336,1.074726
1309,52762,493,1149.665,710.8599,2975.852,2133.057,0.0190858,12.16531,8.839412,20.57151,15.20225,1.617287,0.7167886
776,52319,387,104.7734,56.22433,210.4958,246.3037,0.01225164,7.689673,6.157761,10.46679,11.51325,1.863489,1.170112
528,52022,443,258.7959,151.3136,532.2633,690.7801,0.02370006,8.354719,7.884582,12.75326,12.43176,1.710328,1.297817
539,52017,71,102.8968,136.8257,298.2502,321.0902,0.05566378,7.55042,8.778969,12.67284,11.1828,0.7520283,1.07658
542,51993,308,297.5076,423.8577,1410.137,362.0918,0.04557564,3.246636,3.487556,6.977862,2.515373,0.7019044,0.2567777
546,52205,568,102.4244,31.05786,96.0279,95.61901,0.07056934,7.533648,6.030246,8.490808,8.456496,3.297857,0.995742
2617,54502,514,4497.978,830.3254,2613.398,594.0681,0.02861009,31.80867,10.15631,21.6901,8.519777,5.417126,0.2273163
905,52643,497,24484.28,14679.14,2.757685E+07,9508.756,0.01198162,183.873,112.6917,5015422,69.9006,1.667964,0.0003448094
1642,53115,199,142.616,56.17383,240.4028,329.9475,0.01023974,12.70731,9.164036,15.95634,18.14823,2.538834,1.372478
1435,52996,345,166.6609,857.9213,5290.103,2642.285,0.01176893,10.30716,13.37706,43.38441,25.41251,0.1942613,0.4994771
2205,53793,244,1502.679,2032.06,7346.167,1604.599,0.0761773,15.70651,17.43795,48.49504,12.49809,0.7394858,0.2184266
2218,53816,537,106.7201,451.0143,3397.34,2429.063,0.02247379,6.314855,7.381761,25.90174,18.64248,0.2366225,0.7149897
578,52339,337,173.1686,519.1756,2519.285,1085.802,0.0263286,9.93855,10.19003,23.73338,16.1226,0.3335453,0.4309959
301,51942,105,78.39893,45.66092,135.2715,155.3322,0.0482777,9.146924,9.089925,13.43996,12.57127,1.716981,1.148299
456,51910,47,204.2914,647.4868,2550.603,895.5151,0.03187782,7.659185,9.405581,23.32232,11.03292,0.3155144,0.3510993
459,51924,604,475.681,265.1546,925.1013,377.6988,0.06275482,7.647926,5.292881,9.561819,5.860193,1.793976,0.4082783
1926,53317,615,135.2268,47.25696,184.0137,268.2448,0.04231828,7.019948,5.156573,9.031466,10.43694,2.861521,1.457744
2666,54230,72,161.9444,73.57055,220.337,279.7395,0.01584964,9.365841,8.548402,12.9803,12.66509,2.201212,1.269598
2228,53818,334,9336.208,1166.072,4811.205,4796.921,0.01806297,69.15946,17.06697,43.74594,39.40855,8.006548,0.9970312
2483,53852,604,92.52153,56.26249,134.8918,176.9046,0.02414919,9.530916,8.564216,12.46239,12.79747,1.644462,1.311456
2089,53498,113,55.42394,45.51037,201.9977,215.6467,0.01280123,3.971354,3.125329,4.702394,5.201643,1.217831,1.06757
394,51913,327,42.83102,15.71654,125.415,154.1326,0.02654729,3.499932,2.888396,4.554822,4.937835,2.72522,1.22898
328,52282,606,50.91447,34.54463,85.2169,51.62276,0.01649863,4.093251,4.053351,5.64572,4.764537,1.473875,0.6057808
349,51699,587,66.44958,318.4162,1335.11,755.6008,0.02623498,2.711194,3.585345,7.157551,4.63797,0.2086878,0.5659464
1304,52993,405,179.4148,66.13549,195.8789,322.5274,0.03129667,14.09388,10.93357,17.26804,19.73026,2.712836,1.646565
746,52238,384,29.34442,23.73733,75.15179,82.91508,0.057579,4.579163,4.225719,6.063351,6.141992,1.236214,1.103302
766,52247,271,95.70547,44.00045,140.2651,210.8182,0.01964946,8.060999,6.830678,9.875976,10.86907,2.175102,1.502998
655,52162,230,354.336,432.2445,1476.273,691.6788,0.03420823,5.899249,5.984982,11.85661,6.81437,0.8197583,0.4685303
2584,54153,460,63.93896,31.11802,117.9445,103.2221,0.02867017,7.405661,4.501683,6.838216,10.07699,2.054724,0.8751753
2608,54474,596,126.5477,62.01491,169.6946,178.4844,0.0316484,7.960606,6.976628,10.7652,10.4287,2.040601,1.051797
1622,53385,113,701.6871,972.806,5269.707,2822.474,0.01430377,12.28193,12.31902,42.02534,23.16854,0.7213022,0.5356036
1372,53062,327,961.3674,2898.773,12253.38,5967.541,0.01862751,21.99762,32.1456,97.8975,46.50797,0.3316464,0.4870116
1382,53115,228,334.4578,176.8472,523.3359,561.2432,0.0106341,14.35203,12.8244,20.86577,19.42182,1.891224,1.072434
2828,54438,520,10.70297,45.38665,75.81604,64.12659,0.04273127,2.066214,2.368899,2.798276,2.735712,0.2358176,0.8458182
2878,54465,121,68.40302,64.6038,203.0081,214.1346,0.03336308,3.779442,3.646281,4.487823,4.330158,1.058808,1.054808
2219,53816,458,576.6367,751.2755,2943.388,1401.705,0.0235185,12.23001,11.64649,27.18129,16.44083,0.7675436,0.4762217
274,51913,226,141.8971,46.43078,137.7231,136.6915,0.05508018,4.358968,2.983946,4.305339,4.613684,3.0561,0.99251
1923,53319,284,142.73,117.1479,486.3678,343.6143,0.03196384,5.596315,4.869117,8.542134,7.936851,1.218374,0.7064906
1927,53321,587,122.8987,59.33336,175.5148,234.0226,0.04360108,8.999989,8.347246,12.67852,12.54729,2.071326,1.333349
1944,53385,388,47.74178,30.08989,72.51556,63.20735,0.01959685,5.322879,4.498259,6.201178,6.392744,1.586638,0.8716384
2232,53827,261,143.6841,162.6985,480.6617,318.6437,0.02086902,14.43804,12.80357,21.47655,21.90521,0.8831307,0.6629273
2236,53729,38,11018.13,4301.879,15446.75,1119.719,0.01498421,82.47191,36.6,134.1477,13.06319,2.561236,0.07248896
2240,53823,320,78.67636,180.3296,662.0132,317.6948,0.01178364,8.954817,9.140676,16.19387,14.11652,0.4362919,0.4798919
2497,54154,342,161.2522,120.6986,234.7891,219.9978,0.01699541,11.36072,11.42362,15.43861,13.99378,1.33599,0.9370018
969,52442,216,104.94,61.13824,169.8735,131.7778,0.0250434,7.834548,6.979531,10.67503,10.07942,1.716438,0.7757403
1019,52707,261,6863.945,8340.336,164078.1,16486.71,0.01560176,70.69194,76.26853,11730.39,105.3869,0.8229818,0.1004808
832,52312,483,95.53978,182.9406,701.7808,310.6591,0.0138649,5.999784,5.835137,13.75308,9.172251,0.5222447,0.4426725
2946,54506,196,19.62262,45.27298,190.7759,118.2374,0.0594599,1.97801,1.742525,2.610576,2.351397,0.4334289,0.6197709
533,51994,537,370.8294,185.4991,805.1729,1017.009,0.03354619,15.85544,13.90043,26.42174,25.84062,1.99909,1.263094
553,51999,569,561.1763,176.9318,704.627,620.0989,0.01458756,11.25312,6.770444,13.42096,17.64034,3.171709,0.8800386
2016,53799,590,713.5428,1246.748,5085.056,1440.984,0.007824706,13.99585,15.66937,41.96238,17.36072,0.5723234,0.2833763
1714,53521,376,568.8781,150.6886,468.9442,389.582,0.03241513,13.91887,8.179737,13.54809,13.70814,3.77519,0.8307641
1722,53852,613,331.7876,685.0901,2903.828,1454.479,0.04164397,5.248261,6.675408,17.24211,9.127866,0.4842977,0.5008831
864,52320,628,110.7001,209.3927,756.8812,668.6763,0.03128828,10.10508,8.333631,15.66252,17.19947,0.5286724,0.8834627
900,52637,623,570.897,500.8777,2560.91,2030.835,0.01237254,9.758911,8.505851,18.45769,15.24704,1.139793,0.7930132
929,52581,142,4072.924,389.5215,2085.451,2478.793,0.04032633,34.4453,11.63178,27.2242,27.26992,10.45622,1.188612
965,52438,305,93.63377,222.4413,1794.495,1201.184,0.01468699,11.48885,9.992073,27.50607,24.13927,0.4209369,0.6693713
1200,52668,251,68.73001,230.4039,914.2114,374.9038,0.0176177,4.034716,4.753888,9.157735,6.032237,0.2983023,0.4100844
598,52316,66,3080.588,3205.989,13448.1,3111.568,0.02043799,32.81079,30.99526,100.0445,27.84476,0.9608855,0.2313761
1059,52618,309,1743.406,1661.83,5878.867,1554.088,0.05266321,19.47846,17.23048,45.81894,14.532,1.049088,0.2643515
448,51900,448,103.1774,64.18906,147.4253,209.0202,0.04735491,11.92002,10.30844,15.34062,16.77663,1.607399,1.417804
457,51901,259,171.6011,754.1227,3209.964,2005.167,0.0532411,8.758154,11.94669,29.73813,21.0198,0.2275506,0.6246697
487,51943,245,35.62173,55.51481,174.6842,104.6454,0.02773551,2.465094,2.418547,2.806466,2.746056,0.6416616,0.5990548
489,51930,50,1510.62,910.3036,3310.609,882.5734,0.01243167,18.6672,12.56204,27.98002,13.04539,1.659468,0.2665895
492,51955,452,121.4247,468.6282,2751.297,1329.873,0.01196797,3.782188,5.362811,17.35087,9.125164,0.2591066,0.4833622
2636,54082,570,21.71961,17.54804,92.536,67.01106,0.03015885,1.997053,1.743181,2.686964,2.611831,1.237723,0.7241621
2657,54502,242,54.47893,73.26811,197.618,189.5051,0.03246766,7.91915,8.209137,13.22892,12.86695,0.7435558,0.9589468
2135,53827,381,108.2171,281.4247,1269.173,548.6845,0.02526905,9.492756,9.344771,18.58674,15.19468,0.384533,0.4323164
1665,52976,163,37.13248,31.96688,88.71162,91.36058,0.1466672,3.933345,3.852888,4.860401,4.813654,1.161592,1.02986
1679,53149,350,6923.906,2027.236,9007.248,5358.045,0.02410973,51.56449,23.18591,67.09882,42.39027,3.415442,0.5948593
1703,53799,516,585.2499,96.83932,287.0373,278.4561,0.01902951,16.65565,10.87178,17.05519,16.48565,6.043515,0.970104
1591,52976,425,994.2809,429.6107,1823.711,1529.395,0.01946483,15.86992,12.47193,25.63732,21.91788,2.314377,0.838617
394,51913,587,54.77234,20.45427,73.46342,90.33938,0.02780124,3.108995,2.615618,3.674497,3.752074,2.677795,1.229719
2970,54589,535,61.79113,85.17157,530.8751,311.0701,0.07950112,6.547112,6.343073,11.50079,10.22831,0.7254901,0.5859573
1303,53050,220,175.2885,654.1502,3021.58,1725.61,0.0457838,8.244754,10.16373,24.97514,16.8212,0.2679637,0.5710953
524,52027,148,96.38772,383.0048,1387.184,694.0907,0.03263324,7.185013,8.282586,15.54495,11.69356,0.2516619,0.5003595
526,52312,413,137.0189,672.5318,3259.652,1183.314,0.02482409,6.73704,9.084181,32.3522,13.51023,0.2037359,0.3630184
536,52024,40,520.5664,840.7063,4881.967,2740.887,0.03749019,12.92499,13.56431,39.84047,27.34329,0.6192012,0.5614308
1991,53446,591,195.194,161.5564,467.7974,324.6467,0.02217501,13.40344,13.02263,20.87903,18.45731,1.208209,0.69399
1993,53762,120,106.3101,104.8214,242.8895,235.4353,0.01536386,12.99183,13.01318,20.0878,19.52655,1.014203,0.9693102
666,52149,321,48.91881,109.4191,343.5617,155.9269,0.02477845,3.358612,3.374374,4.910129,4.132948,0.4470775,0.4538543
666,52149,534,50.12107,39.82523,113.4494,132.9302,0.02439302,3.528708,3.555642,4.77323,4.405072,1.258526,1.171713
890,52583,281,154.2365,44.782,173.0696,245.4339,0.04264832,8.046695,5.296945,8.205438,9.784154,3.444162,1.418123
2878,54465,354,33.92199,56.84223,171.5769,114.2342,0.03431166,3.269411,3.040776,3.730943,4.025399,0.5967745,0.6657905
2173,53874,192,162.5672,359.1968,1612.713,749.6603,0.05494277,8.245229,8.282338,17.41266,13.66073,0.4525854,0.4648442
2763,54507,458,82.02875,48.27552,164.3297,215.0643,0.01959539,9.409563,9.636245,15.5018,13.88903,1.699179,1.308737
571,52286,496,41.82707,31.88369,82.85461,67.62585,0.03587287,5.750039,5.397388,7.211619,6.965138,1.311864,0.8161989
592,52025,403,59.01332,82.29792,356.5822,290.929,0.04188417,5.589213,4.972581,7.982963,8.261633,0.7170694,0.8158821
594,52045,187,242.9898,2526.197,9994.48,3545.336,0.1117362,8.274556,20.35079,56.66294,21.55837,0.09618796,0.3547294
2355,53792,501,1826.258,1107.254,5518.173,3339.275,0.03031753,19.39817,13.81329,39.50558,25.93456,1.649358,0.6051414
450,51908,175,43.67199,32.085,83.36719,77.99361,0.01673706,3.038541,2.860101,4.208355,3.988218,1.361134,0.9355433
461,51910,598,100.5197,82.61692,164.519,145.2044,0.0401336,9.937743,9.86493,13.9431,12.98307,1.216697,0.8826001
473,51929,90,176.7543,111.2034,265.7087,209.0114,0.02746053,6.990289,6.246157,8.458536,7.83979,1.589469,0.7866186
1946,53432,536,1515.987,435.0816,1567.432,552.7787,0.01659297,20.63433,10.38026,21.48231,13.55123,3.484373,0.3526653
1949,53433,9,398.7131,237.3577,822.1804,1185.772,0.02393342,18.18488,16.31523,27.67074,28.51062,1.679799,1.442229
2481,54086,142,213.7396,1910.431,9145.261,3631.537,0.01864133,7.087414,15.62015,57.16011,23.92468,0.1118803,0.397095
2485,54176,534,81.149,30.49152,87.73166,127.1413,0.02088437,6.933506,4.459037,6.1934,8.044055,2.661363,1.449206
2501,54084,489,1169.688,903.2375,3050.78,949.1982,0.01956887,11.65772,9.272229,22.6045,8.832312,1.294995,0.3111329
2097,53491,515,4263.219,410.1265,1955.421,3082.215,0.01800843,34.70227,12.71743,27.40337,29.85765,10.39489,1.576241
1702,53144,558,97.08389,64.41727,382.7682,485.2495,0.02382786,12.42444,9.619615,17.85526,20.11115,1.50711,1.267737
2032,53815,292,560.5691,1035.339,4496.923,1445.838,0.007825211,12.78713,14.07207,38.27449,17.76845,0.5414356,0.3215172
1809,53792,281,156.3724,94.25719,331.2788,408.8345,0.02453133,11.19356,10.15714,17.14324,16.99851,1.658997,1.23411
812,52352,52,190.3147,124.406,332.2785,472.5334,0.01934404,15.53428,14.51566,24.29399,24.84644,1.529787,1.4221
1226,52734,324,182.3117,166.2574,594.1346,564.3146,0.0684753,17.78973,18.45178,31.15874,28.65332,1.096563,0.9498093
2576,54086,631,149.7898,52.08299,221.9852,264.4351,0.04658034,8.894814,6.505534,11.49286,12.57058,2.875983,1.191228
898,52606,338,58.36701,37.60159,106.0081,110.5363,0.02225375,8.050517,6.462433,9.076328,9.469048,1.552249,1.042716
2289,53708,615,239.6462,2123.262,11383.15,4015.806,0.03104048,11.06635,23.5152,89.22208,34.70883,0.112867,0.3527853
1655,53523,640,1719.03,942.7699,4338.363,2433.037,0.05431984,16.74709,12.60561,30.58262,17.06159,1.823382,0.5608191
1427,52996,351,147.3787,91.00201,323.4474,372.6053,0.01271353,9.496978,7.964308,13.22187,13.8682,1.619511,1.151981
2767,54243,377,92.30627,57.44889,120.4376,176.0915,0.03705822,12.89907,10.10885,14.26497,17.31778,1.606755,1.462098
285,51930,348,2402.944,3685.008,13171.2,3451.395,0.02070467,24.65374,30.29843,76.75196,23.88097,0.6520865,0.262041
291,51928,323,176.955,55.05654,249.5112,133.6092,0.01549574,10.34216,6.261361,10.04849,12.02091,3.21406,0.5354838
434,51885,119,24.81091,17.75634,93.27818,98.9289,0.04905565,3.305911,2.725617,4.236965,4.599729,1.397299,1.060579
488,51914,370,31.79686,57.48275,331.4339,142.6109,0.04458435,4.288052,3.783696,6.487051,5.696779,0.5531548,0.4302844
1927,53321,520,92.9495,59.19977,211.2329,327.9452,0.04897829,8.163713,6.846817,10.5331,11.63258,1.570099,1.552529
2241,54169,598,253.7464,43.39046,117.6491,253.228,0.0089729,7.799125,4.037429,5.44602,7.074332,5.847978,2.152401
2102,54115,248,211.3408,720.7388,5146.56,2770.666,0.01266822,8.683897,10.60166,40.60478,24.86608,0.293228,0.5383529
2111,53467,380,58.93805,65.82576,136.6208,135.8701,0.01745346,7.878466,8.586015,12.77046,11.59498,0.8953645,0.9945053
1592,52990,508,322.9424,273.2791,1393.726,952.0886,0.01950224,6.414264,5.200813,11.93839,9.830392,1.181731,0.6831246
995,52731,299,125.7614,31.65729,58.20346,81.42362,0.0506721,6.42898,3.548462,3.175152,4.89149,3.972589,1.398948
1843,53816,115,472.7678,668.8507,2406.694,1033.228,0.02017153,7.946283,8.2176,18.37124,9.958794,0.706836,0.4293142
1854,53566,133,151.4102,78.75883,235.927,250.981,0.06953396,11.30373,8.238578,13.61166,15.64519,1.922454,1.063808
1272,52989,541,45.82301,67.11811,287.9997,200.7984,0.02591494,5.227215,5.159817,8.212337,7.591055,0.682722,0.6972175
775,52295,410,1267.279,1461.345,5745.364,1467.125,0.009579834,16.21635,15.67808,47.17968,14.2294,0.8672007,0.255358
552,51992,67,82.0985,38.93745,139.2496,221.4858,0.02641037,5.571841,4.714301,6.822361,7.593648,2.108471,1.590567
552,51992,359,89.08842,37.23289,198.7292,332.4998,0.01839213,6.358849,5.543181,9.244511,9.370063,2.392735,1.673131
667,52163,401,101.2632,91.96197,214.1108,104.1592,0.02275475,10.76644,9.455522,14.25227,13.45788,1.101142,0.4864731
1749,53357,173,1908.705,1122.382,3673.269,577.8633,0.03361024,14.15564,8.843272,22.30405,4.923454,1.700584,0.1573158
2595,54207,137,188.0637,883.1303,3514.546,1512.794,0.03963196,12.04688,15.75114,36.42399,22.4091,0.2129512,0.430438
878,52353,166,85.76681,48.0264,289.6452,355.5422,0.0172762,7.132477,5.656216,9.596355,10.39285,1.785826,1.227509
918,52404,490,1522.805,1020.533,4107.485,825.7416,0.05191479,15.70481,11.00114,28.34753,9.039816,1.492166,0.2010334
