#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
12.0624116447624,13.8327507574171,12.062396,13.8328312,19.04816,419,51879,16,0.03224984,74.36358,84.34048,260.3239,57.42432,14.44,14.272,10.805,0.1679993,3.467
15.8351353749066,13.9744674208489,15.8351061,13.9745009,18.3674,421,51821,60,0.1041831,54.45186,35.78289,166.9884,130.4095,14.227,13.991,11.168,0.2360001,2.823
13.3347566016768,15.0243134581696,13.3352779,15.0243429,18.71635,420,51871,493,0.06060575,15.25998,59.73867,234.3145,86.42441,14.079,13.936,10.342,0.1430006,3.594
20.8200884355621,14.658967908381,20.8198916,14.6590712,18.00631,424,51893,520,0.03962898,45.87907,143.2013,692.8582,296.6274,12.904,12.666,8.692,0.2379999,3.974
20.2840581248266,15.0032046896108,20.2840441,15.0030148,18.08499,424,51893,469,0.05450072,734.4962,91.84468,518.6436,352.091,12.646,12.111,9.036,0.5349998,3.075
22.1680343850987,14.7683106487857,22.1678724,14.7682545,18.32918,425,51898,432,0.04582377,100.3285,161.8706,730.3105,276.8355,12.958,12.7,8.865,0.2580004,3.835
12.6675840520826,-10.9861440166796,12.667495,-10.986201,19.08376,657,52177,287,0.08664118,47.11371,101.8584,394.4025,118.5629,14.808,14.6,10.664,0.2079992,3.936001
14.9632966458407,-11.0337772042471,14.9632218,-11.0337613,19.04193,658,52146,244,0.05721883,94.3773,71.52487,238.4545,45.01509,15.095,14.963,11.305,0.132,3.658
3.31780635524652,-10.7327905153295,3.3178117,-10.7327407,18.4015,652,52138,254,0.1647104,18.78882,43.80142,184.9662,130.2742,14.273,13.938,10.62,0.335,3.318
10.6563553701519,-9.89474795970618,10.6562345,-9.894699,18.66927,655,52162,112,0.07640889,23.13959,56.06809,217.6736,78.94231,14.622,14.559,10.641,0.06299973,3.918
20.9957586613604,-9.56497972705229,20.9957243,-9.5650342,16.6511,2878,54465,354,0.04400738,33.92199,56.84223,171.5769,114.2342,12.271,12.251,9.992,0.0199995,2.259001
