plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3,ratio_oiii_hb,ratio_nii_ha
1987,53765,461,3338.761,2546.273,8981.012,1789.353,12.231,12.043,7.939,0.1879997,4.104,1.311234,0.1992374
349,51699,65,13.83089,12.34777,26.74763,40.25853,13.978,13.826,12.333,0.1519995,1.493,1.120112,1.505125
349,51699,556,172.4489,917.3574,3543.482,1495.045,11.852,11.731,7.956,0.1210003,3.775,0.1879844,0.4219139
1801,54156,435,169.8599,179.9334,709.0253,602.337,10.773,10.823,9.236,-0.05000019,1.587,0.9440152,0.8495281
1926,53317,357,133.3197,49.38228,140.5117,198.1082,11.345,11.41,10.042,-0.06499958,1.368,2.699748,1.409906
2829,54623,238,36.31393,185.3663,926.6036,321.5735,11.582,11.444,7.385,0.1379995,4.059,0.1959036,0.3470455
2436,54054,417,58.12259,18.79779,55.33094,23.86265,12.197,12.282,12.148,-0.08500004,0.1339998,3.091991,0.4312713
2609,54476,394,80.82633,54.47095,255.1709,282.4006,11.318,11.3,9.173,0.01799965,2.127,1.483843,1.106712
1463,53063,464,764.3829,434.6566,1572.383,714.8591,10.455,10.437,8.25,0.01799965,2.187,1.75859,0.4546341
2758,54523,163,88.57294,78.22061,287.6976,361.4651,11.263,11.35,9.427,-0.08700085,1.923,1.132348,1.256407
1704,53178,167,173.5757,99.20873,136.9855,136.0948,10.902,10.985,10.555,-0.08299923,0.4299994,1.749601,0.9934972
2134,53876,363,157.666,232.2401,860.988,537.3231,11.256,11.289,8.611,-0.03299999,2.677999,0.6788923,0.6240773
305,51613,552,206.196,88.78378,349.4867,510.868,12.456,12.472,10.55,-0.01599979,1.922,2.322451,1.461767
455,51909,47,4887.686,2969.354,9668.336,2144.424,12.781,12.37,8.038,0.4110003,4.332,1.646043,0.2217986
696,52209,234,131.3573,99.25674,381.3207,733.5363,11.018,11.082,8.965,-0.06400013,2.117,1.323409,1.923673
1876,54464,586,13021.97,4448.987,14187.44,1680.922,11.423,11.322,8.374,0.1010008,2.948,2.92695,0.1184796
2089,53498,127,74.66541,56.83561,176.7421,271.9353,11.118,11.158,9.819,-0.03999996,1.339,1.313708,1.5386
793,52370,620,138.2802,50.6273,164.1876,78.28135,12.327,12.369,11.299,-0.04200077,1.070001,2.731336,0.4767799
747,52234,262,311.3846,439.8564,2057.022,1051.812,10.935,10.784,7.022,0.151,3.762001,0.7079235,0.5113277
428,51883,449,71.53205,34.75086,153.5443,213.8211,11.538,11.607,10.218,-0.06900024,1.389,2.058425,1.39257
650,52143,11,114.9052,57.69132,302.0363,595.5143,10.901,10.911,8.329,-0.01000023,2.582,1.991725,1.971665
1323,52797,202,156.7305,369.9953,2021.783,1403.095,10.548,10.478,7.114,0.07000065,3.364,0.4236013,0.693989
2434,53826,146,175.4861,103.3544,321.6004,682.0347,10.807,10.871,9.338,-0.06400013,1.533,1.697906,2.120752
1628,53474,384,88.74886,52.34406,169.2189,217.4963,10.994,11.104,10.183,-0.1099997,0.9210005,1.695491,1.285296
2354,53799,121,1052.956,2926.318,12125.8,4845.217,10.636,10.491,6.429,0.1449995,4.062,0.3598228,0.3995793
587,52026,517,29.53423,38.35725,120.0485,195.5488,12.239,12.253,11.888,-0.01399994,0.3650007,0.7699779,1.628915
434,51885,334,43.36893,30.17632,94.28511,106.5497,11.705,11.765,10.448,-0.06000042,1.317,1.437184,1.130079
757,52238,122,76.21757,581.3502,3564.034,2264.24,10.898,10.703,6.672,0.1949997,4.031,0.1311044,0.6353027
1276,53035,570,2802.678,921.8132,2819.223,210.3562,12.837,12.806,10.293,0.03100014,2.513,3.040397,0.07461493
1791,54266,470,78.20817,57.08677,146.7261,222.1381,11.518,11.556,10.33,-0.03800011,1.226,1.369988,1.513964
2239,53726,529,100.8902,32.42779,86.78221,108.0469,11.623,11.695,10.305,-0.07199955,1.389999,3.111226,1.245035
520,52288,392,135.2468,76.35136,251.8301,53.95197,13.765,13.839,11.546,-0.0739994,2.293,1.771374,0.2142396
520,52288,392,135.2468,76.35136,251.8301,53.95197,14.058,13.98,11.626,0.07800007,2.353999,1.771374,0.2142396
521,52326,251,108.7206,85.28259,179.7516,155.4072,11.129,11.205,10.418,-0.07600021,0.7869997,1.274828,0.8645662
521,52326,300,6729.555,928.8184,3834.808,2136.215,10.452,10.446,8.04,0.005999565,2.406,7.245286,0.5570592
528,52022,377,105.352,39.83431,134.2088,180.0612,11.616,11.684,10.547,-0.06799984,1.137,2.644754,1.34165
2601,54144,470,89.25125,22.78214,47.67188,42.46384,13.036,13.022,12.211,0.01399994,0.8109999,3.917597,0.8907523
2605,54484,242,108.0444,77.4583,113.1519,120.3634,10.82,10.883,10.111,-0.06300068,0.7720003,1.394872,1.063733
2770,54510,583,10957.91,2728.549,8754.15,574.0336,14.028,13.689,9.639,0.3389997,4.05,4.016023,0.06557274
