plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3,ratio_oiii_hb,ratio_nii_ha
2483,53852,604,92.52153,56.26249,134.8918,176.9046,11.31,11.358,10.642,-0.04799938,0.7159996,1.644462,1.311456
2219,53816,458,576.6367,751.2755,2943.388,1401.705,12.26,12.101,8.287,0.1590004,3.814,0.7675436,0.4762217
2878,54465,121,68.40302,64.6038,203.0081,214.1346,12.418,12.435,11.184,-0.0170002,1.251,1.058808,1.054808
2089,53498,113,55.42394,45.51037,201.9977,215.6467,12.826,12.753,11.055,0.07299995,1.698,1.217831,1.06757
1304,52993,405,179.4148,66.13549,195.8789,322.5274,10.283,10.352,9.577,-0.06900024,0.7750006,2.712836,1.646565
574,52355,458,603.2176,1152.151,4758.372,1714.037,11.803,11.567,7.208,0.2360001,4.359,0.5235578,0.3602149
574,52355,458,603.2176,1152.151,4758.372,1714.037,12.957,12.749,8.552,0.2080002,4.197,0.5235578,0.3602149
341,51690,151,124.5564,809.8279,3593.997,1491.908,11.294,11.175,7.416,0.1189995,3.759,0.153806,0.4151112
394,51913,561,85.03702,54.687,149.1404,150.8927,11.659,11.735,10.733,-0.07599926,1.002,1.554977,1.011749
394,51913,577,25.18576,11.15251,39.5629,42.805,12.923,12.95,11.213,-0.02699947,1.737,2.258305,1.081948
968,52412,386,616.2593,192.1399,676.93,230.3844,10.985,11.048,9.584,-0.06300068,1.464001,3.207347,0.3403371
812,52352,483,243.3211,942.5361,4075.795,1848.884,11.922,11.767,7.873,0.1549997,3.894,0.2581558,0.4536255
421,51821,428,3190.005,361.6836,1626.058,3140.456,10.914,10.816,7.884,0.09799957,2.932,8.819876,1.931331
427,51900,528,168.3746,109.4587,395.4808,262.1568,10.383,10.405,9.154,-0.02199936,1.250999,1.538248,0.6628814
349,51699,187,937.1672,599.9487,1766.253,326.4864,12.894,12.749,8.966,0.1450005,3.783,1.562079,0.1848469
434,51885,470,50.62443,37.42976,132.2149,116.9346,11.786,11.865,10.222,-0.07899952,1.643,1.352518,0.8844281
1191,52674,265,474.108,2923.707,11551.39,5544.387,10.584,10.385,6.354,0.1989994,4.031,0.1621599,0.4799757
1997,53442,272,186.5761,953.8058,3996.425,1792.783,11.529,11.319,7.005,0.21,4.314,0.1956122,0.4485967
1927,53321,387,105.8863,106.1967,329.5918,428.9391,10.478,10.502,9.016,-0.02400017,1.486,0.9970766,1.301425
2657,54502,168,58.03428,20.74319,84.8021,137.0748,12.455,12.482,11.591,-0.02700043,0.8910007,2.797751,1.616408
450,51908,585,45.54643,20.32749,92.99428,103.2991,11.725,11.798,10.172,-0.07299995,1.626,2.240632,1.110812
910,52377,489,92.90167,112.7672,482.8284,488.6393,10.613,10.539,6.823,0.07400036,3.716,0.823836,1.012035
2485,54176,455,59.41792,35.97429,104.926,83.23093,12.261,12.376,11.292,-0.1150007,1.084001,1.651677,0.7932346
2485,54176,455,59.41792,35.97429,104.926,83.23093,13.392,13.373,12.251,0.01900005,1.122,1.651677,0.7932346
2488,54149,1,253.2187,155.6001,446.0435,109.0534,10.89,10.938,10.307,-0.04799938,0.6309996,1.627369,0.2444905
853,52374,520,298.3256,152.5538,581.9186,664.0901,11.441,11.439,9.507,0.001999855,1.932,1.955543,1.141208
490,51929,368,51.52697,29.01519,110.031,130.1001,12.408,12.419,10.882,-0.01099968,1.537,1.775862,1.182395
493,51957,200,2068.018,1459.279,5943.818,2443.335,11.239,11.219,8.006,0.02000046,3.213,1.41715,0.4110716
2520,54584,378,162.7762,31.01513,161.4671,161.9441,11.964,11.841,9.208,0.1230001,2.632999,5.248282,1.002954
930,52618,485,228.4237,160.6909,368.5282,279.0559,11.213,11.308,10.455,-0.09499931,0.8529997,1.42151,0.7572171
1324,53088,275,114.5978,23.47178,92.60556,48.79398,11.263,11.374,10.735,-0.1110001,0.6389999,4.882365,0.5269011
2419,54139,94,1000.866,974.8807,3278.345,907.5422,11.728,11.544,7.472,0.184,4.072,1.026655,0.2768293
1666,52991,353,89.37925,46.08417,175.3036,189.666,11.902,11.953,11.421,-0.05099964,0.5320005,1.939478,1.081929
1377,53050,65,268.9709,271.4026,1268.191,1537.084,9.974,9.917,6.884,0.05700016,3.033,0.9910401,1.212028
765,52254,563,221.2672,118.2206,246.12,245.8423,10.746,10.82,10.318,-0.0739994,0.5019999,1.871646,0.9988716
519,52283,415,1097.839,364.6638,1627.747,3161.461,10.901,10.606,8.549,0.2950001,2.057,3.010552,1.942231
828,52317,370,166.8517,283.0674,1267.261,1082.414,10.889,10.839,8.13,0.05000019,2.709,0.5894416,0.8541365
407,51820,565,85.21669,53.95181,175.9189,246.5784,11.543,11.562,8.706,-0.01900005,2.856,1.579496,1.401659
349,51699,402,99.86073,278.9562,956.2443,329.3289,12.982,12.797,8.672,0.1850004,4.125,0.3579799,0.3443983
359,51821,186,106.3675,36.77844,117.4972,95.3795,11.461,11.565,10.597,-0.1039991,0.9679995,2.892115,0.8117599
435,51882,7,132.8862,70.10115,183.1857,278.3137,11.017,11.127,10.186,-0.1099997,0.941,1.895636,1.519298
446,51899,533,56.21196,31.91691,78.98113,84.84783,11.832,11.926,11.235,-0.09399986,0.691,1.761197,1.07428
1800,53884,372,231.1316,102.2334,486.9748,786.7202,10.561,10.511,7.604,0.05000019,2.907,2.260823,1.615525
1805,53875,37,216.2393,149.4475,667.6162,833.6276,10.102,10.119,8.257,-0.0170002,1.862,1.446925,1.248663
1805,53875,64,1246.71,1490.277,5743.216,1624.921,12.102,11.894,7.672,0.2080002,4.222,0.8365625,0.2829287
890,52583,590,1030.499,158.5034,797.8468,1028.453,10.683,10.465,7.222,0.2179995,3.243,6.501431,1.289035
895,52581,44,83.02628,48.51385,127.5425,96.91234,11.799,11.864,11.184,-0.06500053,0.6800003,1.711393,0.7598436
2608,54474,537,71.02692,72.81252,188.7143,188.4868,11.555,11.652,10.411,-0.09700012,1.241,0.9754767,0.9987941
1397,53119,149,294.8192,130.5457,413.4928,643.7435,10.523,10.578,8.93,-0.05500031,1.648,2.258359,1.556843
1997,53442,131,571.0457,1213.017,5363.947,4444.165,11.263,10.85,6.091,0.4129992,4.759,0.470765,0.8285251
967,52636,8,85.45663,47.90237,112.2611,128.0909,11.505,11.598,10.917,-0.09299946,0.6809998,1.783975,1.141009
1590,52974,595,1053.201,1788.409,6229.974,2803.249,12.273,12.148,8.02,0.125,4.127999,0.5889036,0.4499615
612,52079,234,164.2781,135.2112,527.9299,502.3858,9.819,9.757,6.663,0.06200027,3.094,1.214974,0.9516146
687,52518,610,276.6197,223.1246,663.1437,559.9866,10.944,11.029,10.237,-0.08500004,0.7919998,1.239755,0.8444423
2779,54540,261,13156.49,4300.242,16343.5,2859.94,12.131,11.706,7.542,0.4249992,4.164001,3.059476,0.1749894
1436,53054,175,824.7408,1229.181,5408.188,3118.909,11.131,10.848,6.503,0.283,4.345,0.6709676,0.5767012
488,51914,564,218.7324,505.8112,1826.617,816.3755,12.409,12.318,8.516,0.09100056,3.802,0.4324388,0.4469331
1665,52976,163,37.13248,31.96688,88.71162,91.36058,11.569,11.679,10.709,-0.1099997,0.9700003,1.161592,1.02986
1679,53149,350,6923.906,2027.236,9007.248,5358.045,10.5,10.361,7.723,0.1389999,2.638,3.415442,0.5948593
394,51913,587,54.77234,20.45427,73.46342,90.33938,12.168,12.141,10.471,0.02700043,1.67,2.677795,1.229719
2173,53874,192,162.5672,359.1968,1612.713,749.6603,10.832,10.804,8.453,0.02799988,2.351,0.4525854,0.4648442
2355,53792,501,1826.258,1107.254,5518.173,3339.275,10.676,10.315,6.749,0.3610001,3.566,1.649358,0.6051414
2636,54082,570,21.71961,17.54804,92.536,67.01106,12.09,12.146,9.81,-0.05599976,2.335999,1.237723,0.7241621
666,52149,321,48.91881,109.4191,343.5617,155.9269,11.361,11.347,7.787,0.01399994,3.56,0.4470775,0.4538543
666,52149,534,50.12107,39.82523,113.4494,132.9302,11.822,11.835,10.372,-0.01300049,1.463,1.258526,1.171713
592,52025,403,59.01332,82.29792,356.5822,290.929,11.308,11.328,8.92,-0.02000046,2.408,0.7170694,0.8158821
890,52583,281,154.2365,44.782,173.0696,245.4339,11.811,11.854,10.854,-0.04300022,1,3.444162,1.418123
524,52027,148,96.38772,383.0048,1387.184,694.0907,11.577,11.559,8.44,0.01799965,3.119,0.2516619,0.5003595
526,52312,413,137.0189,672.5318,3259.652,1183.314,11.518,11.358,7.207,0.1599998,4.151,0.2037359,0.3630184
536,52024,40,520.5664,840.7063,4881.967,2740.887,10.123,10.057,6.648,0.06599998,3.409,0.6192012,0.5614308
1591,52976,425,994.2809,429.6107,1823.711,1529.395,10.624,10.504,8.979,0.1199999,1.525,2.314377,0.838617
2763,54507,458,82.02875,48.27552,164.3297,215.0643,11.241,11.277,10.094,-0.03600025,1.183001,1.699179,1.308737
1991,53446,591,195.194,161.5564,467.7974,324.6467,11.007,11.048,10.226,-0.04100037,0.8220005,1.208209,0.69399
1993,53762,120,106.3101,104.8214,242.8895,235.4353,10.621,10.68,9.418,-0.05900002,1.262,1.014203,0.9693102
1703,53799,516,585.2499,96.83932,287.0373,278.4561,11.29,11.387,10.746,-0.09700012,0.6409998,6.043515,0.970104
2657,54502,242,54.47893,73.26811,197.618,189.5051,11.065,11.182,9.671,-0.1170006,1.511001,0.7435558,0.9589468
2135,53827,381,108.2171,281.4247,1269.173,548.6845,10.825,10.773,7.867,0.05200005,2.906,0.384533,0.4323164
448,51900,448,103.1774,64.18906,147.4253,209.0202,10.67,10.723,9.854,-0.0529995,0.8689995,1.607399,1.417804
457,51901,259,171.6011,754.1227,3209.964,2005.167,11.23,11.174,7.759,0.05599976,3.415,0.2275506,0.6246697
1059,52618,309,1743.406,1661.83,5878.867,1554.088,12.343,12.096,7.87,0.2470007,4.226,1.049088,0.2643515
2878,54465,354,33.92199,56.84223,171.5769,114.2342,12.271,12.251,9.992,0.0199995,2.259001,0.5967745,0.6657905
2970,54589,535,61.79113,85.17157,530.8751,311.0701,10.796,10.707,7.452,0.08899975,3.255,0.7254901,0.5859573
1303,53050,220,175.2885,654.1502,3021.58,1725.61,11.557,11.46,7.875,0.09700012,3.585,0.2679637,0.5710953
487,51943,245,35.62173,55.51481,174.6842,104.6454,11.688,11.71,8.995,-0.02200031,2.715,0.6416616,0.5990548
489,51930,50,1510.62,910.3036,3310.609,882.5734,11.635,11.495,7.527,0.1400003,3.968,1.659468,0.2665895
492,51955,452,121.4247,468.6282,2751.297,1329.873,10.445,10.247,6.407,0.198,3.84,0.2591066,0.4833622
1617,53112,505,83.06089,44.1208,97.21618,74.62664,11.517,11.637,10.437,-0.1199999,1.2,1.882579,0.767636
982,52466,461,503.1044,322.9061,744.0453,874.8703,9.973,10.042,8.984,-0.06900024,1.058,1.558051,1.175829
1665,52976,247,63.08224,20.32691,65.04338,76.72047,12.113,12.22,11.02,-0.1070004,1.2,3.103385,1.179528
2028,53818,163,2376.487,2254.908,7951.86,4753.038,11.217,11.179,7.9,0.03800011,3.279,1.053917,0.5977265
1449,53116,103,8187.16,1325.873,5324.914,4272.667,10.921,10.157,6.815,0.7639999,3.342,6.174918,0.8023917
2100,53713,314,133.5058,60.168,453.1498,666.3714,11.226,10.769,7.842,0.4569998,2.927,2.218885,1.470532
1229,52723,476,31.9018,103.7708,488.7152,173.7966,10.34,10.345,7.825,-0.005000114,2.52,0.3074257,0.3556193
1923,53319,629,375.864,575.6002,2068.504,593.111,12.812,12.661,8.762,0.151,3.899,0.652995,0.2867343
1923,53319,629,375.864,575.6002,2068.504,593.111,14.134,14.156,10.049,-0.02200031,4.107,0.652995,0.2867343
298,51955,65,111.1376,58.32586,161.0728,128.6146,11.063,11.179,10.38,-0.1160002,0.7989998,1.90546,0.7984875
769,54530,236,599.4363,607.5152,2917.169,1620.505,11.58,11.405,7.383,0.1750002,4.022,0.9867017,0.5555061
520,52288,579,87.40623,200.7558,758.567,234.8429,11.903,11.847,8.182,0.05599976,3.665,0.4353859,0.3095876
528,52022,346,210.1498,663.3504,2765.524,1449.795,12.263,11.895,7.784,0.3679991,4.111001,0.3168005,0.5242386
1584,52943,32,422.3838,72.25724,166.2164,167.7037,12.326,12.328,11.314,-0.001999855,1.014,5.845557,1.008948
2240,53823,520,92.66433,203.3089,980.7279,586.5858,10.679,10.606,7.463,0.07299995,3.143,0.4557809,0.5981126
454,51908,11,128.5184,95.04176,346.5287,429.9887,10.645,10.688,9.284,-0.04299927,1.403999,1.352231,1.240846
301,51942,347,324.1389,589.4449,2299.229,1348.496,11.693,11.638,8.402,0.05500031,3.235999,0.5499052,0.5864994
538,52029,639,163.1563,212.0451,859.5497,622.0557,9.8,9.75,6.9,0.05000019,2.85,0.7694417,0.7236995
1807,54175,504,113.2301,78.85376,300.3574,227.9519,11.799,11.808,9.538,-0.008999825,2.27,1.435951,0.7589357
491,51942,423,1133.017,754.8333,2355.37,391.5725,11.669,11.651,8.313,0.01799965,3.338,1.501017,0.1662467
2516,54241,493,68.05516,417.0417,1877.448,710.3118,12.311,12.208,8.472,0.1029997,3.736,0.1631855,0.3783389
328,52282,583,42.79592,19.54442,49.43196,34.58287,12.208,12.332,10.685,-0.1239996,1.646999,2.189675,0.6996054
1665,52976,574,41.38725,41.11842,111.9505,91.13499,11.117,11.178,9.438,-0.06100082,1.740001,1.006538,0.8140647
2172,54230,164,1908.021,1389.635,4664.218,2376.142,12.091,11.608,7.965,0.4829998,3.643,1.373037,0.5094407
390,51900,407,82.27954,505.3761,2517.918,957.5192,11.628,11.498,7.763,0.1300001,3.735,0.1628085,0.3802821
390,51900,625,43.62145,25.34258,87.25851,121.3354,12.26,12.305,10.474,-0.04500008,1.831,1.721271,1.390528
392,51793,517,1796.376,736.6923,3303.951,2371.508,11.051,10.922,7.207,0.1289997,3.715,2.438435,0.7177794
394,51913,53,19.07298,20.03215,54.16376,72.97021,12.499,12.545,11.022,-0.04600048,1.523,0.9521188,1.347215
1316,52790,336,201.4387,103.3108,339.6618,293.2003,11.031,11.14,10.163,-0.1090002,0.9770002,1.949832,0.8632122
513,51989,378,582.5078,1376.924,5056.438,2650.44,12.375,12.228,8.43,0.1470003,3.797999,0.4230502,0.5241714
2095,53474,347,844.5275,788.1033,3538.996,3200.918,9.758,9.591,5.619,0.1670008,3.972,1.071595,0.9044706
2742,54233,599,63.36956,39.62777,81.65417,78.99485,12.031,12.135,11.051,-0.1040001,1.084001,1.59912,0.967432
355,51788,30,100.043,103.394,337.1686,291.1169,11.667,11.675,9.329,-0.008000374,2.346,0.9675905,0.8634165
1683,53436,577,105.7228,108.8966,289.6988,433.0215,10.603,10.683,10.064,-0.07999992,0.6189995,0.9708541,1.49473
527,52342,24,259.5525,1035.821,4047.246,2067.57,11.123,11.089,7.642,0.0340004,3.447,0.2505766,0.5108586
2127,53859,426,5256.093,508.3492,2076.596,2522.573,11.426,10.93,8.023,0.4959993,2.907001,10.33953,1.214763
1704,53178,369,145.5356,71.17275,197.6694,177.0869,10.836,10.906,10.319,-0.06999969,0.5869999,2.044822,0.8958739
1205,52670,95,704.2949,968.8214,4344.326,1926.079,13.45,13.24,9.285,0.21,3.955,0.7269605,0.4433552
1205,52670,95,704.2949,968.8214,4344.326,1926.079,11.741,11.526,7.095,0.2150002,4.431,0.7269605,0.4433552
2477,54058,454,38.96968,26.90616,88.25185,101.0841,11.174,11.238,9.238,-0.06400013,2,1.448355,1.145405
469,51913,130,1485.509,386.1893,1945.398,2058.439,11.883,11.564,8.165,0.3190002,3.399,3.846583,1.058107
1948,53388,132,14971.08,3191.568,10434.5,575.1768,12.537,12.455,8.958,0.08199978,3.497,4.690823,0.05512263
2880,54509,442,374.064,360.9016,1634.89,2166.352,11.126,11.119,8.259,0.006999969,2.860001,1.036471,1.325075
878,52353,166,85.76681,48.0264,289.6452,355.5422,11.318,11.304,8.299,0.01399994,3.005,1.785826,1.227509
2102,54115,248,211.3408,720.7388,5146.56,2770.666,10.432,10.148,6.012,0.2840004,4.136,0.293228,0.5383529
2111,53467,380,58.93805,65.82576,136.6208,135.8701,11.583,11.639,10.993,-0.05599976,0.6459999,0.8953645,0.9945053
1843,53816,115,472.7678,668.8507,2406.694,1033.228,12.507,12.403,9.064,0.1040001,3.339,0.706836,0.4293142
932,52620,56,237.8362,378.2467,1424.602,1030.707,11.2,11.195,8.464,0.005000114,2.731,0.628786,0.7235055
2742,54233,470,86.70879,52.2738,170.908,269.4178,11.404,11.467,10.386,-0.06299973,1.081,1.658743,1.576391
2595,54207,137,188.0637,883.1303,3514.546,1512.794,11.018,10.894,6.902,0.1239996,3.992,0.2129512,0.430438
285,51930,348,2402.944,3685.008,13171.2,3451.395,11.445,11.186,7.348,0.2589998,3.838,0.6520865,0.262041
291,51928,323,176.955,55.05654,249.5112,133.6092,10.395,10.432,9.627,-0.0369997,0.8050003,3.21406,0.5354838
667,52163,401,101.2632,91.96197,214.1108,104.1592,10.626,10.688,10.099,-0.06199932,0.5889997,1.101142,0.4864731
434,51885,119,24.81091,17.75634,93.27818,98.9289,11.844,11.898,9.952,-0.0539999,1.946,1.397299,1.060579
995,52731,299,125.7614,31.65729,58.20346,81.42362,12.344,12.402,11.336,-0.05800056,1.066,3.972589,1.398948
1854,53566,133,151.4102,78.75883,235.927,250.981,10.771,10.807,9.574,-0.03600025,1.233,1.922454,1.063808
1927,53321,520,92.9495,59.19977,211.2329,327.9452,10.844,10.881,9.453,-0.0369997,1.427999,1.570099,1.552529
1592,52990,508,322.9424,273.2791,1393.726,952.0886,11.548,11.448,8.142,0.1000004,3.306,1.181731,0.6831246
2241,54169,598,253.7464,43.39046,117.6491,253.228,13.027,13.031,12.517,-0.00399971,0.5139999,5.847978,2.152401
2241,54169,598,253.7464,43.39046,117.6491,253.228,13.261,13.236,11.737,0.02499962,1.499,5.847978,2.152401
1272,52989,541,45.82301,67.11811,287.9997,200.7984,11.496,11.504,9.391,-0.00799942,2.113,0.682722,0.6972175
775,52295,410,1267.279,1461.345,5745.364,1467.125,12.493,12.303,8.317,0.1899996,3.986,0.8672007,0.255358
775,52295,410,1267.279,1461.345,5745.364,1467.125,14.356,14.195,9.871,0.1610003,4.323999,0.8672007,0.255358
552,51992,67,82.0985,38.93745,139.2496,221.4858,11.051,11.031,8.413,0.0199995,2.618,2.108471,1.590567
552,51992,359,89.08842,37.23289,198.7292,332.4998,11.405,11.433,9.92,-0.02799988,1.513,2.392735,1.673131
918,52404,490,1522.805,1020.533,4107.485,825.7416,12.185,12.047,8.203,0.1380005,3.844,1.492166,0.2010334
1749,53357,173,1908.705,1122.382,3673.269,577.8633,13.395,13.063,9.047,0.3320007,4.016,1.700584,0.1573158
2213,53792,372,56.14773,41.92478,189.5407,370.7054,11.139,11.112,7.947,0.02699947,3.165,1.339249,1.955809
488,51914,370,31.79686,57.48275,331.4339,142.6109,11.924,11.915,8.715,0.008999825,3.2,0.5531548,0.4302844
572,52289,533,197.7986,133.17,356.8911,242.5154,11.423,11.544,10.608,-0.1209993,0.9359999,1.485309,0.6795221
982,52466,471,174.1039,105.3464,197.7394,204.1462,11.502,11.612,10.319,-0.1100006,1.293,1.652679,1.0324
1974,53430,431,103.2341,374.0042,1796.589,841.0414,11.296,11.222,7.633,0.0739994,3.589,0.276024,0.4681324
1975,53734,318,150.9112,92.8986,232.3506,287.5901,10.95,11.038,10.216,-0.0880003,0.8220005,1.624472,1.237742
2238,54205,222,12019.25,3700.566,10814.36,682.8312,11.013,10.832,7.236,0.1809998,3.596,3.247949,0.06314114
2358,53797,460,1585.921,293.4624,1090.344,716.5037,10.942,10.97,8.555,-0.02799988,2.415,5.404172,0.6571358
2583,54095,376,98.02604,91.74318,436.732,474.3304,11.84,11.846,9.588,-0.005999565,2.257999,1.068483,1.08609
666,52149,195,195.5715,114.9784,391.0006,408.2613,10.47,10.482,8.436,-0.01200008,2.046,1.700942,1.044145
666,52149,638,132.0547,63.95876,169.2926,254.7631,10.801,10.897,9.975,-0.09600067,0.9219999,2.064685,1.504869
597,52059,281,60.79649,294.4742,1228.359,431.5605,10.781,10.761,7.661,0.02000046,3.1,0.2064578,0.3513309
894,52615,483,297.0784,985.0577,3830.594,1592.368,12.744,12.561,8.461,0.1830006,4.099999,0.3015848,0.4156974
900,52637,84,63.11298,31.16889,95.95247,114.6861,11.683,11.793,11.004,-0.1100006,0.7890005,2.024871,1.195238
2364,53737,170,110.8449,310.544,1349.172,809.4822,11.953,11.912,8.709,0.04100037,3.203,0.3569378,0.5999846
1704,53178,208,11558.62,3412.249,10021.19,880.2357,12.747,12.624,9.163,0.1230001,3.460999,3.38739,0.08783742
309,51994,309,45.80608,24.40679,95.68777,83.46696,12.468,12.518,10.643,-0.04999924,1.875,1.876776,0.8722845
1362,53050,378,115.0336,214.2984,781.4837,322.2542,12.396,12.399,9.657,-0.003000259,2.742001,0.5367916,0.412362
1362,53050,378,115.0336,214.2984,781.4837,322.2542,13.318,13.246,10.242,0.07199955,3.004001,0.5367916,0.412362
2152,53874,449,71.18873,92.03091,457.5656,270.8259,10.967,10.846,7.055,0.1210003,3.791,0.7735306,0.5918843
371,52078,126,68.33032,145.7529,575.3583,388.0303,11.343,11.323,8.389,0.02000046,2.934,0.4688093,0.6744151
1592,52990,558,41.67574,94.03584,314.4588,153.0956,12.79,12.768,9.536,0.02200031,3.231999,0.4431899,0.4868542
1749,53357,352,39.61546,23.39247,51.15091,86.50161,13.359,13.267,11.564,0.09200001,1.703,1.693514,1.691106
1927,53321,584,244.1948,81.53497,261.6507,445.3258,11.242,11.318,9.459,-0.07600021,1.859,2.994971,1.701986
2201,53904,104,116.2104,62.44405,227.8456,271.7705,10.857,10.884,9.07,-0.02699947,1.814,1.861033,1.192783
553,51999,596,7271.119,1768.915,4717.712,338.3695,13.299,13.16,9.72,0.1389999,3.44,4.110496,0.07172322
553,51999,596,7271.119,1768.915,4717.712,338.3695,13.263,13.203,9.684,0.05999947,3.519,4.110496,0.07172322
854,52373,486,73.78905,30.58701,78.75291,72.17674,12.003,12.074,11.365,-0.0710001,0.7090006,2.412431,0.9164962
2484,54144,336,53.59435,209.088,890.1371,420.8114,11.3,11.3,8.305,0,2.995,0.2563244,0.472749
2782,54592,442,200.5896,217.6756,946.1257,667.1895,9.662,9.521,5.897,0.1409998,3.624,0.9215069,0.7051805
634,52164,240,169.5083,61.83147,206.6187,178.2786,11.044,11.092,10.447,-0.04800034,0.6450005,2.741456,0.8628383
730,52466,308,67.93123,33.7346,110.757,140.0918,11.367,11.452,10.704,-0.08500004,0.7479992,2.013696,1.264857
513,51989,603,107.5646,702.7158,3212.755,1216.78,11.642,11.592,7.988,0.05000019,3.604,0.1530699,0.3787342
579,52338,83,366.3863,1414.765,5959.053,2818.417,10.462,10.365,6.681,0.09700012,3.684,0.2589732,0.4729639
1625,53140,295,570.2411,116.9107,439.5366,541.8184,10.423,10.513,9.207,-0.0899992,1.306,4.877577,1.232704
1666,52991,11,102.8358,162.1257,555.7126,404.612,10.586,10.676,8.993,-0.0899992,1.683,0.6342968,0.7280958
2520,54584,631,78.40385,34.39631,117.0103,206.4456,11.898,11.943,10.131,-0.04500008,1.812,2.279426,1.764337
2524,54568,549,83.87096,54.19944,121.868,195.3548,10.946,11.044,9.788,-0.09799957,1.256,1.547451,1.603003
1974,53430,566,115.8487,707.408,3346.129,1500.314,11.26,11.051,7.022,0.2090006,4.029,0.1637651,0.4483731
1314,53050,55,19.41157,22.62053,62.63954,48.09674,11.674,11.724,8.913,-0.05000019,2.811,0.8581396,0.7678335
1774,53759,162,101.4318,263.4741,1088.59,641.1528,10.627,10.655,8.141,-0.02799988,2.514,0.3849782,0.5889753
1778,53883,182,226.6759,93.03514,289.9238,356.4591,10.836,10.902,9.961,-0.06599998,0.941,2.436454,1.229493
287,52023,413,29.55753,33.09515,77.73664,59.01689,11.644,11.726,10.76,-0.08199978,0.9659996,0.8931076,0.7591901
434,51885,427,35.60287,31.32659,130.4462,153.6343,12.063,12.058,10.362,0.005000114,1.695999,1.136507,1.17776
1725,54266,514,3823.379,811.241,3142.346,2141.056,11.813,11.105,7.686,0.7080002,3.419,4.713001,0.681356
1921,53317,227,94.45359,78.86882,175.5919,219.9313,10.643,10.708,9.461,-0.06500053,1.247,1.197604,1.252514
2769,54527,535,110.6279,53.06117,148.1966,253.2597,11.127,11.24,10.039,-0.1129999,1.201,2.084912,1.708945
986,52443,29,456.4222,857.3526,3249.227,1259.511,11.925,11.864,8.528,0.06099987,3.336,0.5323623,0.3876341
2241,54169,592,151.0302,108.2837,269.1904,371.6985,10.997,11.078,9.942,-0.08100033,1.136,1.394763,1.380801
1065,52586,110,63.45787,275.0466,1248.714,454.5852,11.491,11.369,7.18,0.1219997,4.189001,0.2307168,0.3640425
1427,52996,392,726.9294,897.8938,3387.993,1866.005,11.326,11.394,8.925,-0.06799984,2.469,0.809594,0.5507702
2883,54525,638,115.3325,103.4394,316.2162,320.0678,9.865,9.871,8.502,-0.006000519,1.369,1.114977,1.01218
481,51908,299,169.7092,326.563,1622.975,1065.339,10.442,10.286,6.147,0.1560001,4.139,0.5196828,0.6564108
276,51909,183,70.76586,40.38296,140.0416,155.3085,11.023,11.056,8.826,-0.03299999,2.23,1.752369,1.109017
