RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,redshift,h_beta_flux,D_L_Mpc,D_L_cm,L_Hbeta,log_L_Hbeta,M_BH_Msun,log_M_BH,log_L_bol,L_bol,L_Edd,log_L_Edd,Edd_Ratio,log_Edd_Ratio
205.80275,47.23168,1284,230,52736,-23.26,45.282,0.01,42.25,0.08,1598.2,847.2,41.2,7.1,17.08,7.48,0.46,-0.29,0.267134,385.2041,1400.4325086551726,4.321283194260422e+27,9.03912146311713e+41,41.95612622226061,5775478.420647359,6.761587965506388,44.82875864892497,6.741532754415902e+44,7.970160220493356e+44,44.90146705190762,0.8458465787276982,-0.07270840298265675
205.80585,65.68623,497,179,51989,-22.48,45.009,0.007,42.04,0.02,2083.6,157.9,49.5,3.6,15.5,7.57,0.07,-0.66,,,,,,,,,,,,,,
205.86363,8.37615,1804,238,53886,-23.04,45.391,0.005,42.4,0.04,7731.7,537.5,46.5,4.7,25.24,8.9,0.06,-1.61,0.2424477,157.8835,1254.3143956591637,3.87040980895673e+27,2.9720801198620867e+41,41.47306051274163,70124040.71280876,7.845866933216327,44.37467688197713,2.369610043804606e+44,9.677117618367608e+45,45.985746019617565,0.02448673393518519,-1.6110691376404336
205.87457,28.05593,2017,180,53474,-22.49,45.003,0.004,42.02,0.04,3790.9,499.5,47.7,4.4,16.05,8.09,0.11,-1.18,0.2275464,210.1016,1167.6101260804323,3.6028683882273634e+27,3.427172933423836e+41,41.53493601926407,18336149.860011008,7.263308149758821,44.432839858108224,2.709192459155601e+44,2.530388680681519e+45,45.40318723616006,0.10706625744254927,-0.9703473780518331
205.95883,28.03497,2017,168,53474,-22.47,45.03,0.006,42.15,0.04,6022.3,261.8,59.6,5.6,18.21,8.5,0.04,-1.57,0.2114582,172.4877,1075.2941219931286,3.3180109641399814e+27,2.3862922392109987e+41,41.37772362881666,37376011.50482002,7.572592954777769,44.28506021108766,1.9277921659927973e+44,5.1578895876651626e+45,45.712472041179005,0.03737559971432922,-1.4274118300913445
205.96996,1.00264,299,580,51671,-22.82,45.29,0.005,42.29,0.04,7863.0,1357.3,45.0,4.4,21.1,8.86,0.15,-1.67,0.2550515,72.71386,1328.534337834927,4.099428620517381e+27,1.5355845058867788e+41,41.186273721417614,49123498.4616572,7.691289288680522,44.105097298132556,1.2737884250814719e+44,6.779042787708693e+45,45.83116837508176,0.018790092716202054,-1.7260710769492034
205.98643,25.64658,2246,66,53767,-22.28,44.931,0.001,42.07,0.03,3261.8,252.6,59.2,3.4,45.55,7.92,0.07,-1.09,0.0863796,2033.969,406.47619445942826,1.254254480047178e+27,4.020920767795968e+41,41.60432551541875,14916878.508052642,7.173677952589812,44.49806598449362,3.148226603295962e+44,2.0585292341112645e+45,45.31355703899105,0.15293572474598138,-0.8154910544974268
206.0255,39.47152,1377,206,53050,-23.15,45.241,0.003,42.13,0.08,2509.2,506.2,34.7,5.3,18.99,7.85,0.18,-0.71,0.2667046,358.2425,1397.8648974245111,4.3133603738518136e+27,8.37564881584029e+41,41.923018459437245,13610143.06917373,7.133862690510176,44.79763735187101,6.2753413129049045e+44,1.8781997435459746e+45,45.273741776911415,0.33411469331037613,-0.4761044250404016
206.08698,66.62155,497,466,51989,-23.1,45.472,0.002,42.45,0.01,2811.2,99.9,40.8,1.6,43.62,8.06,0.03,-0.69,0.1277341,2236.087,617.6250048100212,1.9057916301896745e+27,1.0205854942804136e+42,42.00884939135391,19196226.73415007,7.283215870912848,44.87831842787268,7.556460697941362e+44,2.6490792893127096e+45,45.423094957314085,0.28524856648975,-0.5447765294414065
206.21919,-1.24786,913,407,52433,-22.53,45.005,0.005,41.92,0.05,7272.4,2015.0,38.9,4.9,19.01,8.65,0.24,-1.75,0.1779683,102.1598,887.552082362674,2.738699561628816e+27,9.62894448051233e+40,40.98357868261641,31906427.567891486,7.503878180739881,43.914563961659425,8.214175199688906e+43,4.403087004369025e+45,45.64375726714112,0.018655491457557564,-1.7291933054816921
206.2477,-0.26654,300,272,51943,-23.38,45.242,0.008,42.5,0.04,2389.8,132.7,79.6,10.0,22.11,7.8,0.05,-0.66,0.2447907,993.4495,1268.0507558071852,3.912795787496286e+27,1.911305123794024e+42,42.28133002405247,20087184.542717908,7.302919069488507,45.134450222609324,1.3628567911379384e+45,2.772031466895071e+45,45.44279815588974,0.49164549804496366,-0.30834793328041876
206.31885,54.15706,1042,609,52725,-23.52,45.319,0.003,42.54,0.01,5568.5,222.2,74.2,2.2,25.79,8.58,0.03,-1.36,,,,,,,,,,,,,,
206.40755,63.52516,604,494,52079,-22.37,44.998,0.004,42.16,0.04,1676.3,342.4,62.1,5.9,18.62,7.37,0.18,-0.48,0.175201,923.1448,872.3121140199413,2.6916739329937363e+27,8.404745921307561e+41,41.92452458908519,6086732.82964045,6.784384239298703,44.79905311374007,6.2958317548272e+44,8.399691304903821e+44,44.92426332569994,0.749531325175204,-0.12521021195986667
206.4521,11.74543,1701,200,53142,-22.57,45.123,0.002,42.33,0.01,3695.5,293.0,70.4,2.2,34.01,8.12,0.07,-1.1,0.1263564,1036.224,610.4265103270835,1.88357939715392e+27,4.619887218803048e+41,41.66463137364068,20782135.178589378,7.317690165388719,44.554753491222236,3.587182656930826e+44,2.867934654645334e+45,45.457569251789955,0.12507895363377583,-0.9028157605677197
206.56621,58.00226,1158,359,52668,-22.56,45.116,0.003,41.88,0.05,7201.9,1081.4,28.1,3.3,24.7,8.7,0.13,-1.68,0.1626487,261.0046,803.7189205639091,2.480017453805855e+27,2.0172861189611294e+41,41.30476750013317,48408122.66211382,7.684918240391478,44.21648145012517,1.646195651422837e+44,6.680320927371707e+45,45.82479732679271,0.024642463578026227,-1.6083158766675416
206.5731,62.34597,604,90,52079,-22.53,44.818,0.004,42.03,0.01,7649.3,193.9,76.6,3.2,27.77,8.6,0.02,-1.89,0.1161843,522.8646,557.6233414128969,1.7206458426824614e+27,1.945279823961911e+41,41.28898208240288,53450781.36362999,7.727954058271318,44.201643157458705,1.5909010096484715e+44,7.376207828180938e+45,45.86783314467255,0.021568006849948085,-1.6661899872138495
206.62306,10.87406,1701,131,53142,-23.54,45.425,0.003,42.38,0.02,5578.3,271.8,40.7,2.3,22.18,8.63,0.04,-1.31,0.2909273,148.6421,1544.1147601998828,4.7646402964958544e+27,4.240449887809848e+41,41.6274119352315,45018188.69314321,7.653388017177208,44.51976721911761,3.3095368349080174e+44,6.212510039653762e+45,45.793267103578444,0.053272136604747694,-1.2734998844608327
206.64572,31.35939,2024,237,53503,-22.66,45.144,0.006,41.97,0.05,2049.4,203.9,30.3,3.8,17.64,7.62,0.09,-0.58,0.2464555,299.1662,1277.8279665973073,3.9429651076263e+27,5.8447811859845864e+41,41.76676825690106,7342737.067125572,6.865857977024246,44.650762161486995,4.474681840590431e+44,1.0132977152633288e+45,45.005737063425485,0.4415959666333188,-0.35497490193848763
206.66679,-3.00365,913,132,52433,-22.43,45.124,0.002,41.99,0.1,1606.1,690.2,32.7,5.8,18.75,7.4,0.37,-0.38,0.2230707,313.4665,1141.7920128393137,3.523202015041342e+27,4.889631047661176e+41,41.68927609020542,4059095.7791610425,6.608429299129643,44.57791952479309,3.783724654200299e+44,5.6015521752422385e+44,44.748308385530876,0.6754778918107055,-0.17038886073779116
